airline,overall,author,review_date,customer_review,aircraft,traveller_type,cabin,route,date_flown,Safety_factor,cabin_service,food_bev,entertainment,ground_service,value_for_money,recommended
Turkish Airlines,10,Zeshan Shah,6th May 2019,"Ã¢Å“â€¦ Trip Verified | Flew on Turkish Airlines IAD-IST-KHI and return KHI-IST-IAD. Turkish Airlines has consistently maintained its quality since I first flew with them in 2007. The flights leave on time, the catering is excellent, the inflight entertainment is extensive and the interface easy to use, and the cabin crew is excellent. Interesting though the A330 on the KHI-IST route and return seemed to have more leg room and was newer than the A330 on the IAD-IST route which was showing its age. The A330 on the IAD-IST route had a slow responding interface for the inflight entertainment and a broken table on the return flight. But Turkish Airlines will be replacing the A330 on its flight to IAD with the 787 sometime in the summer. Turkish food was served on the return leg which I personally like, and I saw the cabin staff helping elderly passengers walk to the lavatory which was nice. Overall another wonderful experience with Turkish Airlines.",A330,Solo Leisure,Economy Class,Washington Dulles to Karachi,Apr-19,4,5,5,5,5,5,yes
Turkish Airlines,2,S Gonser,29th April 2019,"Ã¢Å“â€¦ Trip Verified | Basel to Cape Town via Istanbul. When I arrived in Istanbul at 10pm we are informed that TK44 to Cape Town (departure at 1.55am) is delayed 4,5 hours. No reason for this Delay was announced. I received a voucher for Burger King, Sbarro Pizza or Popeys. The staff at the gate were very unfriendly.",Boeing 737-800 / A330-300,Solo Leisure,Economy Class,Basel to Cape Town via Istanbul,Apr-19,3,3,2,3,1,2,no
Turkish Airlines,6,Sami Osman,29th April 2019,"Not Verified | Abu Dhabi to Luxembourg via Istanbul. From AUH-IST, as the flight was at 1:30am, the flight was I comfortable due to the small size of the aircraft. The seats were cramped although the leg room was okay-ish. Service started mid way through and the food was okay but nothing great. Staff was mostly friendly. IST-LUX staff was friendlier, aircraft was bit better, the food was of the same standard though. I think it was a decent experience overall but I would prefer a more spacious air craft even if the flight is 4.5 hours from AUH.",A320 / Boeing 737,Solo Leisure,Economy Class,Abu Dhabi to Luxembourg via Istanbul,Apr-19,2,3,3,3,3,3,yes
Turkish Airlines,1,Norka Idalia Orlando,28th April 2019,"Ã¢Å“â€¦ Trip Verified | The experience with Turkish Airlines has been devastating one. First paid $200 Euros per luggage, totaling $400 Euros for 2 luggage that end up lost between Turkish Airlines and JetBlue. My itinerary was from Venice to Istanbul to Boston and from there with Jetblue to San Juan, Puerto Rico. Once I made it to Boston I looked for my luggage and it never made it to BOS. I immediately try to make a reclamation to Turkish Airlines at BOS and was told that I had to wait until my final destination. Once I made it to my final destination I made my claim. Turkish Airlines will not cooperate with Jetblue and even if JB was really trying to help is not much they could do because TATurkish Airlines did not care for my luggage. It never made to Boston. Turkish Airlines have been unhelpful. In my case, even presenting evidence to both airlines, neither is able to find my lost claim luggage. It seems the claim is a form which after being submitted it get to be submitted evidence, dead word, as they do not even comply with the search of the lost not delivered luggage in hands of Turkish Airlines.",A320 / A330,Solo Leisure,Economy Class,Venice to Boston via Istanbul,Feb-19,1,1,1,1,1,1,no
Turkish Airlines,2,Trevor Khurana,24th April 2019,"Ã¢Å“â€¦ Trip Verified | Houston to Kiev via Istanbul. Fares seem competitive, but there is a catch in terms of layover time. Mine from Houston to Kiev Via Istanbul had a return leg layover of 14 hours and though TK website says that a layover of over a certain hours gets a complimentary hotel stay. But there is a fine print somewhere which they always get a disqualified citing some wired Ã¢â‚¬Å“rulesÃ¢â‚¬Â that I, even as a frequent traveler cannot comprehend. Another notable difference in Turkey is that there are endless and multiple security checks, and one wonders if one is going through a war zone . Lines at security checks and passport control ( yes, if you need to stay at a hotel for a long layover, one needs to get an e-VISA just to get out, check into a hotel and get back to airport to catch the connecting flight). Ended up paying way more than if I had chosen other airlines like LH or SAS, which I will keep in mind next time",Boeing 777-300,Solo Leisure,Economy Class,Houston to Kiev via Istanbul,Mar-19,1,3,2,2,1,1,no
Turkish Airlines,5,Gyan Fernando,21st April 2019,Ã¢Å“â€¦ Trip Verified | Nakhchivan to Istanbul. The flight set off a little bit late and boarding was disorderly with too many passengers carrying oversized baggage on board. The aircraft appeared to be old with drop-down screens for entertainment which were virtually useless. Cabin service was not very good and staff appeared not to care.,Boeing 737-800,Solo Leisure,Economy Class,Nakhchivan to Istanbul,Apr-19,2,2,3,1,2,3,yes
Turkish Airlines,7,Gyan Fernando,21st April 2019,Ã¢Å“â€¦ Trip Verified | London Heathrow to Istanbul. The flight from LHR took off on time. Boarding was hassle free. Seating was 3x3x3. Legroom was average but I had an emergency exit row seat. Cabin service was average with not many smiles. The flight was smooth as was the landing.,Boeing 777-300ER,Solo Leisure,Economy Class,London Heathrow to Istanbul,Apr-19,4,3,3,3,4,4,yes
Turkish Airlines,8,S Tekin,20th April 2019,"Ã¢Å“â€¦ Trip Verified | Izmir to Istanbul. It was my first Boeing 777 experience. They gave a free hot sandwich with cheese and vegetables and a drink. Hot and cold options were rich. Cold ones weren't very cold but you can add some ice to them. Plane was really big and crowded yet there were no problem with fresh air and air conditioning. Well, maybe one. One of the cabins leaked some water to a passenger. They suddenly suggested he change his seat, he refused. Flight on time, good cabin crew. And this time, it was extremely cheap.",Boeing 777,Solo Leisure,Economy Class,Izmir to Istanbul,Apr-19,4,5,4,4,5,5,yes
Turkish Airlines,4,John Choi,18th April 2019,"Ã¢Å“â€¦ Trip Verified | Baku to Amsterdam via Istanbul. They still operate like a third world airline. Check in counter staff at the new airport was ignorant (when she finished my check in, she just left the boarding pass and my passport on the counter instead of handing them to me). I changed my seat the previous night when doing the online check in. When boarding the agent said I had the wrong seat and put me back at my old seat. I asked why, and she said they changed plane. She just made that up.",,Solo Leisure,Economy Class,Baku to Amsterdam via Istanbul,Apr-19,2,3,3,2,2,3,no
Turkish Airlines,2,Eric Bjorneby,17th April 2019,"Not Verified | New York JFK to Tel Aviv via Istanbul. Do not fly Turkish Airlines! We had round trip scheduled March-April 2019. Just before leaving on our trip they cancelled the second leg of our return flight and placed us on another flight which involved a 14 hour layover in Istanbul airport. Then, upon arrival in Istanbul on our way out to Tel Aviv they cancelled the second leg of this part of the trip as we stood at the gate waiting for departure and put us on another flight several hours later because the later flight was not full. Imagine 300 People at an airline gate waiting as staff filled out new boarding passes for everyone by hand!. We cancelled our return arrangements (without refund) and flew another airline home at the end of our vacation. Rather lose the money then deal with this airline any further!",,Couple Leisure,Economy Class,New York JFK to Tel Aviv via Istanbul,Mar-19,3,2,1,3,1,2,no
